,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
3970,2024,MI,FT,Data Scientist,166000,US,In person,US,M
3971,2024,MI,FT,Data Scientist,73000,US,In person,US,M
3972,2024,SE,FT,Machine Learning Engineer,237600,US,In person,US,M
3973,2024,SE,FT,Machine Learning Engineer,146900,US,In person,US,M
3974,2024,MI,FT,ML Ops Engineer,198000,US,In person,US,M
3975,2024,MI,FT,ML Ops Engineer,114800,US,In person,US,M
3976,2024,SE,FT,Data Analyst,150000,US,In person,US,M
3977,2024,SE,FT,Data Analyst,140000,US,In person,US,M
3978,2024,SE,FT,Data Scientist,138000,US,In person,US,M
3979,2024,SE,FT,Data Scientist,86000,US,In person,US,M
3980,2024,MI,FT,Data Engineer,205600,US,In person,US,L
3981,2024,MI,FT,Data Engineer,105700,US,In person,US,L
3982,2024,SE,FT,Data Scientist,226000,US,In person,US,M
3983,2024,SE,FT,Data Scientist,132000,US,In person,US,M
3986,2024,MI,FT,Data Analyst,154000,US,In person,US,M
3987,2024,MI,FT,Data Analyst,105000,US,In person,US,M
3988,2024,SE,FT,Machine Learning Engineer,255800,US,In person,US,M
3989,2024,SE,FT,Machine Learning Engineer,255800,US,In person,US,M
3990,2024,SE,FT,Data Scientist,155000,US,In person,US,M
3991,2024,SE,FT,Data Scientist,132000,US,In person,US,M
3992,2024,SE,FT,Data Engineer,185000,US,In person,US,M
3993,2024,SE,FT,Data Engineer,130000,US,In person,US,M
3994,2024,MI,FT,BI Developer,54532,GB,In person,GB,M
3995,2024,MI,FT,BI Developer,43628,GB,In person,GB,M
3996,2024,SE,FT,Data Engineer,226000,US,In person,US,M
3997,2024,SE,FT,Data Engineer,132000,US,In person,US,M
3998,2024,SE,FT,Data Scientist,136300,US,In person,US,M
3999,2024,SE,FT,Data Scientist,115900,US,In person,US,M
4000,2024,SE,FT,Data Analyst,89000,US,In person,US,M
4001,2024,SE,FT,Data Analyst,76000,US,In person,US,M
4003,2024,MI,FT,Research Engineer,245000,US,In person,US,M
4004,2024,SE,FT,Data Engineer,204300,US,In person,US,M
4005,2024,SE,FT,Data Engineer,115400,US,In person,US,M
4007,2024,SE,FT,Research Scientist,192700,US,In person,US,M
4008,2024,SE,FT,Data Scientist,176000,US,In person,US,M
