,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
8932,2023,SE,FT,Applied Scientist,309400,US,In person,US,L
8979,2023,SE,FT,ML Engineer,385000,US,Fully remote,US,M
9018,2023,SE,FT,Machine Learning Engineer,330000,US,In person,US,M
9044,2023,EX,FT,Head of Data,329500,US,Fully remote,US,M
9056,2023,SE,FT,Machine Learning Engineer,323300,US,In person,US,M
9107,2023,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
9111,2023,SE,FT,Machine Learning Engineer,309000,US,In person,US,M
9142,2023,MI,FT,Machine Learning Engineer,300000,US,In person,US,M
9194,2023,SE,FT,Data Engineer,304200,US,In person,US,M
9210,2023,SE,FT,Data Engineer,370000,US,In person,US,M
9216,2023,SE,FT,Data Scientist,359170,US,In person,US,M
9235,2023,SE,FT,Data Scientist,359170,US,In person,US,M
9247,2023,SE,FT,Machine Learning Engineer,323300,US,In person,US,M
9298,2023,MI,FT,AI Engineer,300000,QA,Fully remote,QA,M
9322,2023,SE,FT,Data Scientist,300000,US,In person,US,M
9352,2023,SE,FT,Data Scientist,370000,US,In person,US,M
9353,2023,SE,FT,Data Scientist,300000,US,In person,US,M
9428,2023,SE,FT,AI Architect,330000,US,In person,US,M
9444,2023,SE,FT,Machine Learning Scientist,325000,US,Fully remote,US,M
9552,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
9568,2023,SE,FT,Data Scientist,323300,US,In person,US,M
9612,2023,SE,FT,Data Scientist,310270,US,In person,US,M
9632,2023,SE,FT,Data Lead,350000,US,In person,US,M
9650,2023,SE,FT,Data Engineer,300000,US,In person,US,M
9769,2023,SE,FT,Machine Learning Engineer,315300,US,Fully remote,US,M
9824,2023,SE,FT,Data Scientist,359170,US,In person,US,M
9825,2023,SE,FT,Data Scientist,310270,US,In person,US,M
9979,2023,SE,FT,Data Scientist,323300,US,In person,US,M
10019,2023,SE,FT,Machine Learning Engineer,309000,US,In person,US,M
10027,2023,SE,FT,Machine Learning Engineer,323300,US,In person,US,M
10137,2023,SE,FT,ML Engineer,305000,US,In person,US,M
10242,2023,SE,FT,AI Architect,330000,US,In person,US,M
10250,2023,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
10304,2023,SE,FT,Machine Learning Engineer,300000,US,In person,US,M
10375,2023,SE,FT,ML Engineer,383910,US,In person,US,M
10376,2023,SE,FT,ML Engineer,315850,US,In person,US,M
10428,2023,SE,FT,Data Scientist,323300,US,In person,US,M
10542,2023,SE,FT,Machine Learning Engineer,392000,US,In person,US,M
10582,2023,SE,FT,AI Architect,330000,US,In person,US,M
10586,2023,SE,FT,Data Scientist,359170,US,In person,US,M
10587,2023,SE,FT,Data Scientist,310270,US,In person,US,M
10588,2023,SE,FT,Data Scientist,359170,US,In person,US,M
10594,2023,SE,FT,Deep Learning Engineer,331640,US,In person,US,M
10600,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
10604,2023,SE,FT,Data Engineer,331640,US,In person,US,M
10614,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
10620,2023,SE,FT,Data Scientist,323300,US,In person,US,M
10626,2023,SE,FT,Data Scientist,359170,US,In person,US,M
10628,2023,SE,FT,Data Scientist,316000,US,In person,US,M
10641,2023,SE,FT,ML Engineer,365630,US,In person,US,M
10642,2023,SE,FT,ML Engineer,315850,US,In person,US,M
10674,2023,SE,FT,Applied Scientist,309400,US,In person,US,L
10688,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
10702,2023,MI,FT,Machine Learning Engineer,300000,GB,In person,GB,M
10706,2023,SE,FT,Research Scientist,323300,US,In person,US,M
10780,2023,SE,FT,AI Architect,330000,US,In person,US,M
10819,2023,SE,FT,Data Scientist,310270,US,In person,US,M
10835,2023,SE,FT,Data Engineer,331640,US,In person,US,M
10837,2023,SE,FT,Deep Learning Engineer,331640,US,In person,US,M
10841,2023,SE,FT,Data Scientist,359170,US,In person,US,M
10842,2023,SE,FT,Data Scientist,310270,US,In person,US,M
10843,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
10845,2023,SE,FT,Data Scientist,359170,US,In person,US,M
10849,2023,EX,FT,Head of Data Science,330000,US,In person,US,M
10853,2023,SE,FT,Applied Scientist,309400,US,In person,US,L
10855,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
10865,2023,SE,FT,Data Scientist,359170,US,In person,US,M
10899,2020,EX,FT,Managing Director Data Science,300000,US,Fully remote,US,L
10906,2023,SE,FT,Research Engineer,370000,US,In person,US,M
10916,2023,SE,FT,Research Scientist,345000,US,In person,US,M
10963,2023,SE,FT,Research Scientist,370000,US,In person,US,M
11009,2023,SE,FT,Applied Scientist,309400,US,In person,US,L
11013,2023,SE,FT,Research Scientist,374000,US,In person,US,M
11047,2023,SE,FT,Research Engineer,370000,US,In person,US,M
11055,2023,SE,FT,Machine Learning Software Engineer,302000,US,In person,US,M
11134,2023,SE,FT,Machine Learning Engineer,331640,US,In person,US,M
11153,2023,SE,FT,Applied Scientist,309400,US,In person,US,L
11214,2023,SE,FT,Analytics Engineering Manager,399880,GB,Hybrid,GB,L
11243,2023,SE,FT,Data Architect,306000,US,Fully remote,US,M
11273,2023,SE,FT,Data Engineer,305000,US,Fully remote,US,M
11359,2023,SE,FT,Machine Learning Engineer,317070,US,In person,US,M
11371,2023,EX,FT,Data Engineer,333500,US,In person,US,M
11410,2023,SE,FT,Machine Learning Engineer,311000,US,In person,US,M
11440,2023,SE,FT,Data Architect,306000,US,Fully remote,US,M
11538,2023,EX,FT,Head of Data,329500,US,In person,US,M
11586,2023,SE,FT,Data Science Manager,328000,US,In person,US,M
11622,2023,MI,FT,ML Engineer,300000,AU,In person,AU,M
11815,2023,EX,FT,Director of Data Science,336400,US,In person,US,M
11859,2023,SE,FT,Research Engineer,370000,US,In person,US,M
11863,2023,SE,FT,Research Scientist,370000,US,In person,US,M
11984,2023,MI,FT,Analytics Engineer,430640,GB,In person,GB,M
12019,2023,SE,FT,Computer Vision Engineer,342810,US,In person,US,M
12053,2023,SE,FT,Applied Scientist,309400,US,In person,US,L
12117,2023,SE,FT,Machine Learning Engineer,342300,US,In person,US,L
12129,2023,SE,FT,Machine Learning Engineer,318300,US,Fully remote,US,M
12147,2023,SE,FT,Applied Scientist,309400,US,In person,US,L
12174,2023,MI,FT,Machine Learning Engineer,300000,US,In person,US,M
12212,2023,EX,FT,Head of Data,329500,US,In person,US,M
12342,2023,SE,FT,Machine Learning Engineer,304000,US,Fully remote,US,M
12462,2023,EX,FT,Director of Data Science,353200,US,In person,US,M
12472,2023,SE,FT,Data Scientist,317070,US,In person,US,M
12512,2023,SE,FT,AI Scientist,417937,IL,In person,IL,L
12632,2023,SE,FT,Data Architect,376080,US,Fully remote,US,M
12828,2023,MI,FT,Research Scientist,340000,US,Fully remote,US,M
12843,2023,EX,FT,Data Engineer,310000,US,Fully remote,US,M
12989,2023,EX,FT,Data Engineer,310000,US,Fully remote,US,M
13079,2023,SE,FT,Data Scientist,300240,US,In person,US,M
13081,2023,SE,FT,Data Scientist,300240,US,In person,US,M
13087,2023,SE,FT,Data Scientist,370000,US,In person,US,M
13098,2023,SE,FT,Machine Learning Engineer,323300,US,In person,US,M
13135,2023,EX,FT,Data Engineer,310000,US,Fully remote,US,M
13238,2022,SE,FT,Machine Learning Software Engineer,375000,US,Fully remote,US,M
13266,2023,SE,FT,Machine Learning Engineer,318300,US,Fully remote,US,M
13268,2023,SE,FT,Data Analyst,385000,US,In person,US,M
13291,2023,SE,FT,Research Scientist,370000,US,In person,US,M
13375,2023,EX,FT,Head of Data Science,314100,US,In person,US,M
13400,2023,SE,FT,Applied Scientist,350000,US,In person,US,L
13406,2023,EX,FT,Data Engineer,310000,US,Fully remote,US,M
13437,2023,SE,FT,Data Engineer,300000,US,In person,US,M
13569,2023,SE,FT,Data Engineer,300000,US,In person,US,M
13581,2023,EX,FT,Data Scientist,300000,US,In person,US,M
13698,2023,SE,FT,Data Engineer,310000,US,In person,US,M
13905,2022,EX,FT,Data Engineer,310000,US,Fully remote,US,M
13984,2022,MI,FT,Data Analyst,430967,GB,In person,GB,M
14131,2022,SE,FT,Data Engineer,300000,US,In person,US,M
14247,2022,EX,FT,Data Engineer,310000,US,Fully remote,US,M
14299,2022,SE,FT,Research Scientist,300000,US,Fully remote,US,M
14327,2022,SE,FT,Data Science Tech Lead,375000,US,Hybrid,US,L
14342,2022,SE,FT,Data Scientist,350000,US,Fully remote,US,M
14373,2022,SE,FT,Data Engineer,315000,US,Fully remote,US,M
14468,2022,SE,FT,Data Engineer,300000,US,In person,US,M
14521,2022,SE,FT,Data Architect,345600,US,In person,US,M
14634,2022,SE,FT,Data Engineer,300000,US,In person,US,M
14816,2022,SE,FT,Data Engineer,300000,US,In person,US,M
15105,2022,SE,FT,Data Science Manager,300000,US,Fully remote,US,M
15363,2022,EX,FT,Data Engineer,324000,US,Fully remote,US,M
15415,2022,SE,FT,Data Analytics Lead,405000,US,Fully remote,US,L
15420,2022,SE,FT,Applied Data Scientist,380000,US,Fully remote,US,L
15472,2020,MI,FT,Research Scientist,450000,US,In person,US,M
15636,2020,EX,FT,Director of Data Science,325000,US,Fully remote,US,L
15685,2020,SE,FT,Data Scientist,412000,US,Fully remote,US,L
